,Name,Album,Artist,mood
1,Mo Bamba,MUDBOY,Sheck Wes,Angry
2,MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X,Angry
3,Foot Fungus,STOKELEY,Ski Mask The Slump God,Angry
4,Shhh (Pew Pew) - Slowed + Reverb,Shhh (Pew Pew) [Slowed + Reverb],Young Fanatic,Angry
5,Rasputin,Rasputin,Majestic,Angry
6,Astronaut In The Ocean,Astronaut In The Ocean,Masked Wolf,Angry
7,Whoopty,Whoopty,CJ,Angry
8,Streets,Hot Pink,Doja Cat,Angry
9,Goosebumps - Remix,Goosebumps (Remix),Travis Scott,Angry
10,Paparazzi,Paparazzi,Kim Dracula,Angry
11,hot girl bummer,hot girl bummer,blackbear,Angry
12,Runnin Low,Runnin Low,Kieran Alleyne,Angry
14,Such a Whore (Stellular Remix),Such a Whore (Stellular Remix),JVLA,Angry
