,Name,Album,Artist,mood
0,Get You The Moon (feat. Snøw),Get You The Moon (feat. Snøw),Kina,Sad
1,Jocelyn Flores,17,XXXTENTACION,Sad
2,Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,Sad
3,how to live,how to live,yaeow,Sad
4,It's You,YOU,Ali Gatie,Sad
5,Loosing Interest,Passion & Confusion,Timmies,Sad
6,Tell Me Goodbye,Tell Me Goodbye,ORYL,Sad
7,Dead and Cold,Dead and Cold,ELIJAH MOON,Sad
8,Heather,Kid Krow,Conan Gray,Sad
9,Reckless,Reckless,Madison Beer,Sad
10,paradise,paradise,cliffe,Sad
11,Me Too,Me Too,April Jai,Sad
