,Name,Album,Artist,mood
0,good 4 u,SOUR,Olivia Rodrigo,Surprise
1,Todo De Ti,Todo De Ti,Rauw Alejandro,Surprise
2,MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X,Surprise
3,Yonaguni,Yonaguni,Bad Bunny,Surprise
4,Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat,Surprise
5,Beggin',Chosen,Måneskin,Surprise
6,deja vu,SOUR,Olivia Rodrigo,Surprise
7,Butter,"Butter (Hotter, Sweeter, Cooler)",BTS,Surprise
8,Levitating (feat. DaBaby),Future Nostalgia,Dua Lipa,Surprise
9,Peaches (feat. Daniel Caesar & Giveon),Justice,Justin Bieber,Surprise
10,I WANNA BE YOUR SLAVE,Teatro d'ira - Vol. I,Måneskin,Surprise
